access,доступ
allowed,разрешено
application,приложение
array,массив
artificial,искуственный
assume,предполагать
attempt,попытка
award,награда
below,ниже
bizarre,странный
bring,принести
consider,рассматривать
decreasing,убывающий
define,определять
defined,определены
depending,зависящий
deploy,развёртывать
describe,описывать
description,описание
desire,желание
dismiss,отклонить
divisible,делимый
either,любой
ensure,гарантировать
equal,равный
even,"даже, чётный"
expected,ожидаемый
explain,объяснять
extensions,расширения
folder,папка
further,дальнейший
got it,понял
hook,крюк
instance,экземпляр
instead,вместо
integer,целое число
integers,целые числа
invalid,недействительный
involves,включает в себя
issues,вопросы
item,элемент
layer,слой
long,"длинный, протяжённый"
manage,управлять
matching,соответствие
mean,"значит, означать"
mean,означать
meaning,значение
measuring,измерение
pair,пара
particular instance,конкретный пример
performance,представление
permission,разрешение
pour,наливать
probability,вероятность
probably,возможно
properties,свойства
query,запрос
queue,очередь
recent,недавний
remote,удалённый
representing,представляющий
required,обязательный
required,требуемый
requirements,требования
requires,требует
resolved,разрешённый
response,ответ
review,обзор
reward,награда
same,такой же
self-taught,самоучка
share,делиться
shuffled,перетасованный
since,поскольку
solution,решение
splendid,великолепно
spread,распространение
stuck,застрял
such,такой
summary,резюме
task,задача
template,шаблон
thickness,толщина
though,хотя
throughout,через
tricky,хитрый
trusted,доверенный
underrated,недооцененный
variable,переменная
warn,предупреждать
weird,странный
whose,чья
